offer_type,title,id,b2b_from,b2b_to,permanent_from,permanent_to,experience_level,AWS,Azure,Big Data,Cloud,Data,Data Science,Databases,ETL,English,Hadoop,Machine Learning,Oracle,PL/SQL,Power BI,Python,SQL,Scala,Snowflake,Spark,T-SQL
data,(Senior) Data Engineer,limango-polska-data-engineer,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-bialystok,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-bydgoszcz,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-gdansk,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-gliwice,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-gorzow-wielkopolski,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-katowice,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-kielce,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-krakow,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-lodz,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-lublin,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-olsztyn,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-opole,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-poznan,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-rzeszow,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-szczecin,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-torun,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-warszawa,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,(Senior) Data Engineer,limango-polska-data-engineer-zielona-gora,3621.0,5538.0,,,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,4D Developer,bnp-paribas-sa-oddzial-w-polsce-4d-developer-warszawa,,,,,mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AI Engineer,cdex-ai-engineer,,,5751.0,6816.0,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
data,AWS Cloud Engineer,solid-bridge-solutions-sp-z-o-o-aws-cloud-engineer,,,,,mid,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-080f0935-7227-4173-a1f5-3cd1e0c7832b,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-15d63eef-8e39-4293-b38b-2292d1a4ccb2,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-2715c41f-870b-4b83-82d7-f8a1e8d9b7a9,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-2972dcb2-96f9-41b0-ba70-84792e8e07c3,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-379db67e-017e-4992-84bc-5c2bc9f8a76a,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-39392022-e6d8-4f3c-b802-61fd6484ca2a,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-3997b1b6-ff4e-4f79-adec-5ad08730ece0,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-3adb1403-0954-4d69-8ac2-1f47401caa2f,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data,AWS Data Engineer,cognizant-technology-solutions-aws-data-engineer-437a7bed-2c10-4713-94c3-12230abafbc1,,,3834.0,5112.0,mid,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
